"id";"parent_id";"level";"objectid";"objecttype";"querystatus";"querytime";"querytype";"name";"message";"type";"metadata.type";"talking_about_count";"likes";"likes.count";"shares.count";"comments.count";"created_time";"updated_time"
"5";"1";"1";"660754120653403_884242141637932";"data";"fetched (200)";"2015-03-05 16:15:00.043000";"Facebook:<user>/posts";"";"We are halfway through the quiz! Read the hint and unscramble the words to guess which colour of the Zest are we referring to?
Give the right answer and stand a chance to win prizes. #ZestForColours
T&C: http://bit.ly/ZestForColoursTC";"photo";"";"";"{""paging"": {""cursors"": {""after"": ""MTAwMDA1ODY3NDM0NzEw"", ""before"": ""NjgxNzU4MzYx""}, ""next"": ""https://graph.facebook.com/v1.0/660754120653403_884242141637932/likes?access_token=CAABj9aBk8VwBACugHZABDZBaWZCYZBooFpHkqZBXZCDydpjrk7wgdGsGvvNWfD0IAiGxsWZBpP0AOubhGFjSNd4soUJTd8xOnOJlTffq5dLnlTIZCI4ZAGdKPshso8ZA4DZCZBG6EGOJ9eL9AkbWRZAjXLlsEE4g48vZBLm9I7aPDTsYCZCjjkRONTloS3XD0DqJAZBmRPllmSzIm8byvg8d8iEsM5uL&limit=25&after=MTAwMDA1ODY3NDM0NzEw""}, ""data"": [{""id"": ""681758361"", ""name"": ""Abhinandan Shenoy""}, {""id"": ""100006516481710"", ""name"": ""Indira Shome Dutta""}, {""id"": ""100006289321765"", ""name"": ""Varsha Joshi""}, {""id"": ""100003067923575"", ""name"": ""Abhishek Singh""}, {""id"": ""100002757272453"", ""name"": ""Ruchi Chhabra""}, {""id"": ""636382365"", ""name"": ""Namrata Sinha""}, {""id"": ""712321792"", ""name"": ""Neha Chopra""}, {""id"": ""100002423298008"", ""name"": ""Lopa Soni""}, {""id"": ""100000870286393"", ""name"": ""Manish Nigam""}, {""id"": ""100001197780407"", ""name"": ""Naveen Kapoor""}, {""id"": ""726507558"", ""name"": ""Jayakrishnan Nambiar""}, {""id"": ""703774602"", ""name"": ""Sumit Rai Sood""}, {""id"": ""100000458087996"", ""name"": ""Ashu Singh""}, {""id"": ""100000172985364"", ""name"": ""Ivey Kthottunkal""}, {""id"": ""100005284994789"", ""name"": ""Sushma Bindu""}, {""id"": ""100008401981064"", ""name"": ""Sarojini Philip""}, {""id"": ""100000716621623"", ""name"": ""Deepankur Khanna""}, {""id"": ""100007956940160"", ""name"": ""Rita Saluja""}, {""id"": ""100003385952731"", ""name"": ""Piyush Solanki""}, {""id"": ""100004053837746"", ""name"": ""Nagaraj Naik""}, {""id"": ""100002513499149"", ""name"": ""Kumar Navendu""}, {""id"": ""100001887164495"", ""name"": ""Paritosh Chattopadhyay""}, {""id"": ""100001873206972"", ""name"": ""Rupak Kumar""}, {""id"": ""100004306603269"", ""name"": ""Prasann Vadan Guddu""}, {""id"": ""100005867434710"", ""name"": ""Dhall Ankur""}]}";"";"27";"";"2015-03-05T10:22:04+0000";"2015-03-05T10:22:04+0000"
"81";"5";"2";"884241901637956_884243778304435";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:26:24+0000";""
"82";"5";"2";"884241901637956_884243541637792";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours   Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:25:25+0000";""
"83";"5";"2";"884241901637956_884243554971124";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:25:30+0000";""
"84";"5";"2";"884241901637956_884245851637561";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:33:47+0000";""
"85";"5";"2";"884241901637956_884242924971187";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:23:27+0000";""
"86";"5";"2";"884241901637956_884247468304066";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:40:35+0000";""
"87";"5";"2";"884241901637956_884244171637729";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"Ans 3. DUNE BEIGE #ZestForColours :)";"";"";"";"";"";"";"";"2015-03-05T10:27:27+0000";""
"88";"5";"2";"884241901637956_884247391637407";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestForColours Dune Beige";"";"";"";"";"";"";"";"2015-03-05T10:40:13+0000";""
"89";"5";"2";"884241901637956_884246388304174";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"#ZestfromTataMotors #ZestForColours #Q4. DUNE BEIGE!";"";"";"";"";"";"";"";"2015-03-05T10:36:10+0000";""
"90";"5";"2";"884241901637956_884244058304407";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"DUNE BEIGE #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:26:57+0000";""
"91";"5";"2";"884241901637956_884242648304548";"data";"fetched (200)";"2015-03-05 16:16:05.867000";"Facebook:<post>/comments";"";"Ans3: Dune Beige  #ZestForColours";"";"";"";"";"";"";"";"2015-03-05T10:22:43+0000";""
